Year,Duration,Title,Genre,Director,Sales,Type
1988,95,Gor,Action,"Kiersch, Fritz",207305509,Film
1987,95,Surrender,Comedy,"Belson, Jerry",611257819,Film
1984,112,Places in the Heart,Drama,"Benton, Robert",294456605,Film
1991,106,Not Without My Daughter,Drama,"Gilbert, Brian",433514834,Film
1977,113,Heroes,Drama,"Kagan, Jeremy Paul",483866518,Film
1981,116,Absence of Malice,Drama,"Pollack, Sydney",521170825,Film
1979,110,Norma Rae,Drama,"Ritt, Martin",232372681,Film
1989,118,Steel Magnolias,Drama,"Ross, Herbert",255743093,Film
1989,101,"Burbs, The",Comedy,"Dante, Joe",563749323,Film
1980,124,"Empire Strikes Back, The",Science Fiction,"Kershner, Irvin",374565754,Film
1977,121,Star Wars,Science Fiction,"Lucas, George",277448382,Film
1983,132,Return of the Jedi,Science Fiction,"Marquand, Richard",419665568,Film
1991,104,Hear My Song,Drama,"Chelsom, Peter",346079773,Film
1956,99,Slightly Scarlet,Action,"Dwan, Allan",243240178,Film
1957,120,Gunfight at the OK Corral,Western,"Sturges, John",378410542,Film
1931,,"Range Feud, The",Western,"Lederman, Ross",244721064,Film
1990,89,Bloodsucking Pharaohs in Pittsburgh,Comedy,"Smithey, Alan",248639099,Film
1972,129,Roma,Drama,"Fellini, Federico",349464664,Film
1979,122,"China Syndrome, The",Drama,"Bridges, James",365971656,Film
1986,100,"Morning After, The",Mystery,"Lumet, Sidney",297718711,Film
1971,114,Klute,Drama,"Pakula, Alan J.",258097122,Film
1979,113,"Electric Horseman, The",Comedy,"Pollack, Sydney",300135367,Film
1965,97,Cat Ballou,Comedy,"Silverstein, Elliot",376152455,Film
1991,,Coming Home,Drama,,231605150,Film
1940,130,Rebecca,Drama,"Hitchcock, Alfred",427344325,Film
1944,96,Jane Eyre,Drama,"Stevenson, Robert",172855065,Film
1973,87,Stacey!,Action,"Sidaris, Andy",427374317,Film
1992,85,Naked Obsession,Mystery,"Golden, Dan",190538630,Film
1989,83,"Stripped to Kill II, Live Girls",Mystery,"Ruben, Katt Shea",273339556,Film
1990,94,"Rain Killer, The",Mystery,"Stein, Ken",138545632,Film
1983,95,Valley Girl,Comedy,"Coolidge, Martha",201585328,Film
1991,118,"Silence of the Lambs, The",Mystery,"Demme, Jonathan",225933435,Film
1988,98,Stealing Home,Drama,"Kampmann, Steven",278454417,Film
1972,92,Napoleon & Samantha,Comedy,"McEveety, Bernard",325286646,Film
1988,,Five Corners,Drama,,349822765,Film
1955,,"Blackboard Jungle, The",Drama,"Brooks, Richard",582893671,Film
1989,103,My Left Foot,Drama,"Sheridan, Jim",320290989,Film
1987,92,Back to the Beach,Comedy,"Hobbs, Lyndall",240685326,Film
1934,85,"Painted Veil, The",Drama,"Boleslawski, Richard",286801374,Film
1931,74,Inspiration,Drama,"Brown, Clarence",309492681,Film
1930,92,Anna Christie,Drama,"Brown, Clarence",379014294,Film
1926,109,"Flesh & the Devil, The",Drama,"Brown, Clarence",232325503,Film
1928,90,Woman of Affairs,Drama,"Brown, Clarence",195745823,Film
1935,96,Anna Karenina,Drama,"Brown, Clarence",314432837,Film
1936,110,Camille,Drama,"Cukor, George",201965915,Film
1931,91,Mata Hari,Drama,"Fitzmaurice, George",202292902,Film
1929,100,Wild Orchids,Drama,"Franklin, Sidney",246120986,Film
1932,112,Grand Hotel,Drama,"Goulding, Edmund",154468902,Film
1931,84,"Susan Lennox, Her Fall & Rise",Drama,"Leonard, Robert Z.",264770996,Film
1939,108,Ninotchka,Comedy,"Lubitsch, Ernst",388156011,Film
1933,97,Queen Christina,Drama,"Mamoulian, Rouben",342463063,Film
1928,96,"Mysterious Lady, The",Drama,"Niblo, Fred",173965010,Film
1925,125,Joyless Street,Drama,"Pabst, Georg Wilhelm",300451603,Film
1929,74,"Single Standard, The",Drama,"Robertson, John S.",335062621,Film
1932,71,As You Desire Me,Drama,,398479497,Film
1930,76,Romance,Drama,,246984278,Film
1962,105,A Child Is Waiting,Drama,"Cassavetes, John",497409852,Film
1982,116,Tootsie,Comedy,"Pollack, Sydney",485930816,Film
1989,86,Let It Ride,Comedy,"Pytka, Joe",342695435,Film
1953,120,Julius Caesar,Drama,"Mankiewicz, Joseph L.",164729679,Film
1979,120,Nineteen Forty-One,Comedy,"Spielberg, Steven",414828246,Film
1975,124,Jaws,Action,"Spielberg, Steven",306209289,Film
1987,93,Hot Pursuit,Drama,"Lisberger, Steven",291465373,Film
1989,120,Triumph of the Spirit,Drama,"Young, Robert M.",245285165,Film
1975,111,Brannigan,Drama,"Hickox, Douglas",236412453,Film
1979,89,Buffet Froid,Comedy,"Blier, Bertrand",358372926,Film
1986,122,Salvador,Drama,"Stone, Oliver",301913131,Film
1959,102,"Horse Soldiers, The",Western,"Ford, John",319713881,Film
1954,108,Long John Silver,Action,"Haskin, Byron",498781117,Film
1961,134,"Hustler, The",Drama,"Rossen, Robert",274703340,Film
1983,109,"Star Chamber, The",Drama,"Hyam, Peter",272742922,Film
1988,100,Clara's Heart,Drama,"Mulligan, Robert",341631208,Film
1987,102,Burglar,Comedy,"Wilson, Hugh",285444603,Film
1986,120,Comic Relief,Comedy,,230685453,Film
1978,117,Bloodbrothers,Drama,"Mulligan, Robert",297002527,Film
1988,134,Rain Man,Drama,"Levinson, Barry",246233113,Film
1966,95,Masculine Feminine,Drama,"Godard, Jean-Luc",605425157,Film
1964,51,"Outer Limits, The",Science Fiction,"Stanley, Paul",269755430,Film
1988,,Mama's Dirty Girls,Horror,,356296601,Film
1979,180,"Last Ride of the Dalton Gang, The",Western,"Curtis, Dan",249348933,Film
1991,,Why Me?,Comedy,,273961019,Film
1932,66,Number Seventeen,Crime,"Hitchcock, Alfred",262552893,Film
1986,120,Manhunter,Drama,"Mann, Michael",229147509,Film
1990,126,"Bonfire of the Vanities, The",Drama,"De Palma, Brian",414351546,Film
1988,115,Working Girl,Comedy,"Nichols, Mike",262511490,Film
1992,133,Shining Through,Mystery,"Seltzer, David",213525736,Film
1991,76,Slumber Party Massacre III,Horror,,294805697,Film
1988,99,Tokyo Pop,Comedy,"Kuzui, Fran Rubel",212902372,Film
1991,136,Terminator 2,Action,"Cameron, James",300473716,Film
1984,108,"Terminator, The",Action,"Cameron, James",340487836,Film
1986,105,King Kong Lives!,Action,"Guillermin, John",335802786,Film
1969,125,Those Daring Young Men in Their Jaunty,Comedy,,216972543,Film
1991,186,At Play in the Fields of the Lord,Drama,"Babenco, Hector",173649931,Film
1990,,Crazy People,Comedy,"Bill, Tony",180622424,Film
1992,99,Memoirs of an Invisible Man,Comedy,"Carpenter, John",467989645,Film
1985,100,"Clan of the Cave Bear, The",Drama,"Chapman, Michael",247275374,Film
1983,82,"Final Terror, The",Horror,"Davis, Andrew",236350661,Film
1984,93,Reckless,Drama,"Foley, James",299288605,Film
1989,,High Spirits,Comedy,"Jordan, Neil",260095986,Film
1987,107,Roxanne,Comedy,"Schepisi, Fred",361832400,Film
1982,117,Blade Runner,Action,"Scott, Ridley",227927165,Film
1987,126,Wall Street,Drama,"Stone, Oliver",458863600,Film
1992,111,Pope of Greenwich Village,Drama,,356700357,Film
1989,89,After School,Drama,,293514336,Film
1938,298,Flaming Frontiers,Western,"Taylor, Ray",403354469,Film
1936,89,Libeled Lady,Comedy,"Conway, Jack",208076205,Film
1976,99,Inserts,Drama,"Byrum, John",171269535,Film
1988,88,"Blue Iguana, The",Drama,"Lafia, John",264118201,Film
1983,93,Tender Mercies,Drama,"Beresford, Bruce",256271286,Film
1987,96,Nights in White Satin,Drama,"Barnard, Michael",362744280,Film
1989,87,Videodrome,Horror,"Cronenberg, David",371353001,Film
1991,96,Intimate Stranger,Mystery,"Holzman, Allan",264105545,Film
1986,110,Highlander,Science Fiction,"Mulcahy, Russell",333011068,Film
1987,93,Bodycount,Action,,191378330,Film
1989,104,Tango & Cash,Action,"Konchalovsky, Andrei",154802912,Film
1970,94,There's a Girl in My Soup,Comedy,"Boulting, Roy",240797623,Film
1984,100,Swing Shift,Drama,"Demme, Jonathan",196114570,Film
1978,112,Foul Play,Comedy,"Higgins, Colin",609016565,Film
1982,109,Best Friends,Comedy,"Jewison, Norman",307166834,Film
1972,109,Butterflies Are Free,Drama,"Katselas, Milton",243006126,Film
1987,112,Overboard,Comedy,"Marshall, Garry",326706115,Film
1974,103,"Girl from Petrovka, The",Drama,"Miller, Robert Ellis",265328738,Film
1992,102,Housesitter,Comedy,"Oz, Frank",207515725,Film
1986,106,Wildcats,Comedy,"Ritchie, Michael",185260553,Film
1984,100,Protocol,Comedy,"Ross, Herbert",179033791,Film
1980,102,Seems Like Old Times,Comedy,"Sandrich, Jay",245724603,Film
1974,109,"Sugarland Express, The",Drama,"Spielberg, Steven",166339890,Film
1980,110,Private Benjamin,Comedy,"Zieff, Howard",332207671,Film
1991,115,Deceived,Mystery,,375740705,Film
1931,95,Arrowsmith,Drama,"Ford, John",215887717,Film
1972,78,Say Goodbye Maggie Cole,Drama,"Taylor, Jud",200512643,Film
1964,132,Circus World,Drama,"Hathaway, Henry",411006740,Film
1952,98,Affair in Trinidad,Drama,"Sherman, Vincent",183097323,Film
1948,87,Lady from Shanghai,Mystery,"Welles, Orson",214034224,Film
1940,81,Lady in Question,Drama,"Vidor, Charles",331503757,Film
1946,110,Gilda,Drama,"Vidor, Charles",170812526,Film
1948,98,"Loves of Carmen, The",Drama,"Vidor, Charles",350448145,Film
1990,105,Dick Tracy,Comedy,"Beatty, Warren",198520934,Film
1964,130,Marnie,Drama,"Hitchcock, Alfred",402254384,Film
1987,85,Hot Child in the City,Mystery,"Florea, John",321457747,Film
1984,90,Johnny Dangerously,Comedy,"Heckerling, Amy",148336445,Film
1985,95,Stark,Mystery,"Holcomb, Rod",300157638,Film
1949,84,Three Strange Loves,Drama,"Bergman, Ingmar",164112721,Film
1964,170,My Fair Lady,Music,"Cukor, George",187134117,Film
1960,123,"Unforgiven, The",Drama,"Huston, John",351583407,Film
1976,106,Robin & Marian,Action,"Lester, Richard",274325949,Film
1961,109,"Children's Hour, The",Drama,"Wyler, William",300854823,Film
1956,121,"Rainmaker, The",Drama,"Anthony, Joseph",186797986,Film
1952,95,Pat & Mike,Comedy,"Cukor, George",292817898,Film
1968,134,"Lion in Winter, THe",Drama,"Harvey, Anthony",261317921,Film
1991,132,"Sea of Grass, The",Western,"Kazan, Elia",170458922,Film
1967,108,Guess Who's Coming to Dinner,Drama,"Kramer, Stanley",222446882,Film
1957,153,Desk Set,Comedy,"Lang, Walter",332500002,Film
1975,107,Rooster Cogburn,Western,"Miller, Stuart",193921372,Film
1981,109,On Golden Pond,Drama,"Rydell, Mark",203553311,Film
1991,101,Adam's Rib,Comedy,,205668210,Film
1991,116,Boom Town,Drama,,211468235,Film
1991,145,Dragon Seed,Drama,,145710347,Film
1991,115,Little Women,Drama,,293503354,Film
1991,113,"Philadelphia Story, The",Comedy,,352927224,Film
1991,112,Without Love,Comedy,,351723989,Film
1991,113,Woman of the Year,Comedy,,225508210,Film
1992,95,Juice,Drama,"Dickerson, Ernest R.",173959438,Film
1986,114,Hoosiers,Drama,"Anspaugh, David",240031274,Film
1987,112,Tin Men,Comedy,"Levinson, Barry",209838559,Film
1988,163,"Last Temptation of Christ, The",Drama,"Scorsese, Martin",365551694,Film
1991,99,Paris Trout,Drama,,171685792,Film
1988,87,Souvenir,Drama,"Reeve, Geoffrey",311312624,Film
1966,120,A Man for All Seasons,Drama,"Zinnemann, Fred",220889446,Film
1986,90,Knights & Emeralds,Drama,"Emes, Ian",207725639,Film
1989,83,Masque of the Red Death,Horror,"Brand, Larry",392000694,Film
1943,265,"Adventures of Smilin' Jack, The",Mystery,"Taylor, Ray",242875078,Film
1992,88,Adventures in Dinosaur City,Action,"Thompson, Brett",177841558,Film
1987,95,"Allnighter, The",Comedy,"Hoffs, Tamar Simon",177313795,Film
1980,99,Caddyshack,Comedy,"Ramis, Harold",219851172,Film
1973,102,Tom Sawyer,Music,"Taylor, Don",363889678,Film
1987,94,"Rita, Sue & Bob Too",Comedy,"Clarke, Alan",250821495,Film
1947,56,Hawk of Powder River,Western,"Taylor, Ray",228738393,Film
1928,148,Tempest,Drama,"Taylor, Sam",136771683,Film
1986,90,Running Mates,Drama,"Neff, Thomas L.",214215889,Film
1987,105,Prettykill,Drama,"Kaczender, George",210888950,Film
1934,80,Judge Priest,Drama,"Ford, John",161459297,Film
1950,104,Harvey,Comedy,"Koster, Henry",351496066,Film
1991,89,If Looks Could Kill,Action,"Wilmington, Michael",140552359,Film
1987,94,Raising Arizona,Comedy,"Coen, Joel",353284621,Film
1989,114,Once Around,Comedy,"Hallstr�m, Lasse",381545846,Film
1980,110,Loulou,Drama,"Pialat, Maurice",168423227,Film
1982,136,"World According to Garp, The",Drama,"Hill, George Roy",256697520,Film
1980,106,Virus,Science Fiction,"Fukasaku, Kinji",309979994,Film
1940,127,Northwest Passage,Action,"Vidor, King",491730089,Film
1987,112,Gardens of Stone,Drama,"Coppola, Francis Ford",222104681,Film
1989,121,"Enemies, a Love Story",Drama,"Mazursky, Paul",363204635,Film
1992,102,"Addams Family, The",Comedy,"Sonnenfeld, B.",167739961,Film
1932,65,Freaks,Horror,"Browning, Tod",191502426,Film
1991,108,Necessary Roughness,Comedy,"Dragoti, Stan",215294342,Film
1990,93,A Show of Force,Drama,"Barreto, Bruno",183936074,Film
1980,129,"Competition, The",Drama,"Oliansky, Joel",276144750,Film
1988,97,Crossing Delancey,Comedy,"Silver, Joan Micklin",198636868,Film
1982,120,"State of Things, The",Drama,"Wenders, Wim",176104344,Film
1987,89,Business As Usual,Comedy,"Barrett, Lezli-An",219103655,Film
1973,103,A Touch of Class,Comedy,"Frank, Melvin",147934180,Film
1970,129,Women in Love.,Drama,"Russell, Ken",245676146,Film
1988,89,Salome's Last Dance,Comedy,"Russell, Ken",362000072,Film
1986,100,Casino,Mystery,"Chaffey, Don",216614388,Film
1955,108,Smiles of a Summer Night,Comedy,"Bergman, Ingmar",197101678,Film
1989,90,New Year's Day,Comedy,"Jaglom, Henry",250849789,Film
1981,132,Mephisto,Drama,"Szab�, Istv�n",275698039,Film
1927,60,Easy Virtue,Mystery,"Hitchcock, Alfred",454627263,Film
1937,59,Swing It Sailor!,Comedy,,246999039,Film
1991,83,Strictly Business,Comedy,"Hooks, Kevin",235666219,Film
1983,90,Blame It on Rio,Comedy,"Donen, Stanley",192669715,Film
1987,86,Straight to Hell,Action,"Cox, Alex",195702963,Film
1990,131,A View to a Kill,Action,,386600138,Film
1986,100,American Anthem,Drama,"Magnoli, Albert",216485654,Film
1963,99,Bedtime Story,Comedy,"Levy, Ralph",187281115,Film
1991,117,"Courtship of Eddie's Father, The",Comedy,,204681899,Film
1988,102,"Night Train to Katmandu, THe",Action,"Wiemer, Robert",160846332,Film
1948,100,Port of Call,Drama,"Bergman, Ingmar",140795793,Film
1973,103,Paper Moon,Comedy,"Bogdanovich, Peter",212874864,Film
1983,97,Yellowbeard,Comedy,"Damski, Mel",220673217,Film
1975,91,Adventures of Sherlock Holmes' Smarter,Comedy,"Wilder, Gene",173567581,Film
1990,108,Flashback,Comedy,"Amurri, Franco",109713132,Film
1977,89,"World's Greatest Lover, The",Comedy,"Wilder, Gene",177378645,Film
1955,67,Killer's Kiss,Mystery,"Kubrick, Stanley",171844840,Film
1988,103,"Deceivers, The",Action,"Meyer, Nicholas",152266007,Film
1983,97,Breathless,Action,"McBride, Jim",172989651,Film
1989,145,Born on the Fourth of July,Drama,"Stone, Oliver",108423749,Film
1991,120,Awakenings,Drama,"Marshall, Penny",212385533,Film
1977,94,Annie Hall,Comedy,"Allen, Woody",125856180,Film
1979,96,Manhattan,Comedy,"Allen, Woody",165335153,Film
1981,195,Reds,Drama,"Beatty, Warren",108185706,Film
1986,105,Crimes of the Heart,Comedy,"Beresford, Bruce",216601214,Film
1977,136,Looking for Mr. Goodbar,Drama,"Brooks, Richard",183954145,Film
1972,175,"Godfather, The",Drama,"Coppola, Francis Ford",213928762,Film
1974,201,"Godfather, Pt 2., The",Drama,"Coppola, Francis Ford",193355800,Film
1976,109,"I Will, I Will...For Now",Comedy,"Panama, Norman",226945087,Film
1972,86,"Play It Again, Sam",Comedy,"Ross, Herbert",132440069,Film
1975,82,Love & Death,Comedy,,268426634,Film
1973,88,Sleeper,Comedy,,185382813,Film
1970,130,Fellini Satyricon,Drama,"Fellini, Federico",352333929,Film
1980,117,"Formula, The",Mystery,"Avildsen, John G.",238235719,Film
1977,143,Black Sunday,Drama,"Frankenheimer, John",397044390,Film
1977,124,Bobby Deerfield,Drama,"Pollack, Sydney",218791811,Film
1972,98,Last of the Red Hot Lovers,Comedy,"Saks, Gene",329398046,Film
1953,116,Mogambo,Action,"Ford, John",176885658,Film
1955,103,To Catch a Thief,Mystery,"Hitchcock, Alfred",224834564,Film
1954,113,Rear Window,Mystery,"Hitchcock, Alfred",212742720,Film
1945,69,Woman Who Came Back,Drama,"Colmes, Walter",337580051,Film
1939,101,Stanley & Livingstone,Action,"King, Henry",352194034,Film
1956,129,"Bad Seed, The",Horror,"LeRoy, Mervyn",176070171,Film
1989,113,Lethal Weapon 2,Action,"Donner, Richard",177502387,Film
1992,79,Blame It on the Bellboy,Comedy,"Herman, Mark",192306508,Film
1927,62,"Drop Kick, The",Drama,"Webb, Millard",181489203,Film
1978,145,"Superman, The Movie",Action,"Donner, Richard",321669741,Film
1987,90,Superman IV: The Quest for Peace,Action,"Furie, Sidney J.",223664608,Film
1970,90,Quackser Fortune Has a Cousin in the Bronx,Comedy,"Waris, Hussein",174463257,Film
1989,96,Dead Calm,Mystery,"Noyce, Phillip",157563598,Film
1990,107,Days of Thunder,Action,"Scott, Tony",185400345,Film
1987,101,My Life As a Dog,Comedy,"Hallstr�m, Lasse",152036382,Film
1983,,"Moon in the Gutter, The",Action,"Beineix, Jean-Jacques",232722935,Film
1984,150,"Paris, Texas",Drama,"Wenders, Wim",181001478,Film
1984,96,Unfaithfully Yours,Comedy,"Zieff, Howard",267045765,Film
1987,95,Bullseye!,Comedy,"Winner, Michael",415686217,Film
1989,104,Erik the Viking,Action,"Jones, Terry",164433867,Film
1987,90,Dragonard,Drama,"Kikoine, Gerard",180613824,Film
1986,90,Hard Choices,Drama,"King, Rick",207039844,Film
1969,102,"Rain People, The",Drama,"Coppola, Francis Ford",335260290,Film
1984,106,A Year of the Quiet Sun,Drama,"Zanussi, Krzystoff",174804407,Film
1935,54,"Desert Trail, The",Western,"Collins, Lewis D.",162738726,Film
1990,98,Almost an Angel,Comedy,"Cornell, John",306941670,Film
1986,98,Crocodile Dundee,Comedy,"Faiman, Peter",155430335,Film
1977,127,"American Friend, The",Mystery,"Wenders, Wim",389681935,Film
1989,119,See You in the Morning,Drama,"Pakula, Alan J.",274470394,Film
1987,88,"Arrogant, The",Drama,"Blot, Philippe",173046663,Film
1989,86,Dracula's Widow,Horror,"Coppola, Christopher",214945591,Film
1987,90,Ninja Masters of Death,Action,"Lambert, Bruce",352794081,Film
1990,110,Mystery Train,Comedy,"Jarmusch, Jim",149705852,Film
1978,114,Go Tell the Spartans,War,"Post, Ted",213719942,Film
1986,89,True Stories,Comedy,"Byrne, David",235483004,Film
1953,94,Ugetsu Monogatari,Drama,"Mizoguchi, Kenji",179179718,Film
1969,80,Rebel Rousers,Action,"Cohen, Martin B.",232617430,Film
1988,98,Plain Clothes,Comedy,"Coolidge, Martha",403449830,Film
1981,119,"Whose Life Is It, Anyway?",Drama,"Badham, John",321788219,Film
1988,116,Running on Empty,Drama,"Lumet, Sidney",348319861,Film
1990,101,Funny about Love,Comedy,"Nimoy, Leonard",176997168,Film
1985,118,"A Chorus Line, The Movie",Music,"Attenborough, Richard",306515884,Film
1986,84,Stewardess School,Comedy,"Blancato, Ken",190400157,Film
1987,109,"Big Town, The",Drama,"Bolt, Ben",151826547,Film
1983,94,Rumble Fish,Drama,"Coppola, Francis Ford",411002906,Film
1983,91,"Outsiders, The",Drama,"Coppola, Francis Ford",244232688,Film
1990,94,Priceless Beauty,Science Fiction,"Finch, Charles",237202299,Film
1989,93,Streets of Fire,Action,"Hill, Walter",183031272,Film
1990,115,Men Don't Leave,Drama,"Brickman, Paul",174999005,Film
1988,127,Everybody's All American,Romance,"Hackford, Taylor",192330738,Film
1991,128,Cape Fear,Mystery,"Scorsese, Martin",126041322,Film
1992,121,"Postman Always Rings Twice, The",Mystery,,178767383,Film
1949,58,Crashing Thru,Western,"Taylor, Ray",218613188,Film
1978,109,Get Out Your Handkerchiefs,Comedy,"Blier, Bertrand",172363301,Film
1971,137,"Boy Friend, THe",Music,"Russell, Ken",242295562,Film
1990,100,Hard To Kill,Action,"Malmuth, Bruce",359200044,Film
1960,109,Psycho,Horror,"Hitchcock, Alfred",159157447,Film
1957,112,Jet Pilot,Action,"Sternberg, Josef von",133960541,Film
1987,95,Under Cover,Mystery,"Stockwell, John",224012234,Film
1951,122,A Streetcar Named Desire,Drama,"Kazan, Elia",206071502,Film
1986,93,"Golden Child, The",Comedy,"Ritchie, Michael",428028233,Film
1971,84,"Statue, The",Drama,"Amateau, Rod",220239925,Film
1985,128,Christopher Columbus,Drama,"Lattuada, Alberto",171120329,Film
1989,116,In Country,Drama,"Jewison, Norman",259175788,Film
1978,132,"Wild Geese, The",Action,"McLaglen, Andrew V.",195268056,Film
1974,90,"Second Coming of Suzanne., The",Drama,"Barry, Michael",203783845,Film
1980,116,Bronco Billy,Western,"Eastwood, Clint",203388341,Film
1977,109,"Gauntlet, The",Action,"Eastwood, Clint",467863133,Film
1986,105,Ratboy,Drama,"Locke, Sondra",203388186,Film
1938,96,Lady Vanishes,Mystery,"Hitchcock, Alfred",211780824,Film
1987,95,"Kitchen Toto, THe",Drama,"Hook, Harry",262821940,Film
1959,88,Carlton-Browne of the F.O.,Comedy,"Boulting, Roy",140894675,Film
1929,68,Racketeer,Drama,"Higgin, Howard",216763646,Film
1941,95,Mr. & Mrs. Smith,Comedy,"Hitchcock, Alfred",132675864,Film
1986,132,Alrededor de Medianoche,Drama,"Rayfield, David",128108211,Film
1982,101,Losin' It,Comedy,"Hanson, Curtis",174440724,Film
1987,114,Into the Homeland,Action,"Glatter, Lesli Linka",371987838,Film
1991,60,Boxing Babes,Action,"Dell, Stewart",287928194,Film
1991,94,Shock 'em Dead,Horror,"Freed, Mark",289317794,Film
1960,101,Heller in Pink Tights,Drama,"Cukor, George",216197492,Film
1961,100,Two Women,Drama,"De Sica, Vittorio",203509374,Film
1954,107,"Gold of Naples, The",Drama,"De Sica, Vittorio",174822325,Film
1963,118,"Yesterday, Today & Tomorrow",Comedy,"De Sica, Vittorio",410902662,Film
1957,109,Legend of the Lost,Action,"Hathaway, Henry",370541256,Film
1978,111,Brass Target,Action,"Hough, John",325338851,Film
1964,188,"Fall of the Roman Empire, The",Drama,"Mann, Anthony",327333559,Film
1961,172,El Cid,Drama,"Mann, Anthony",204313400,Film
1958,114,Desire under the Elms,Drama,"Mann, Delbert",303144152,Film
1953,92,Two Nights with Cleo,Drama,"Mattoli, Mario",366101666,Film
1959,,"Black Orchid, The",Drama,"Ritt, Martin",197744377,Film
1977,91,Angela,Drama,"Sagal, Boris",252712101,Film
1977,105,A Special Day,Drama,"Scola, Ettore",170270201,Film
1979,112,Blood Feud,Action,"Wertmuller, Lina",227817248,Film
1991,145,"Sophia Loren, Her Own Story",Drama,,152263880,Film
1990,,Running Away,Drama,,169333034,Film
1991,130,Man of La Mancha,Music,,223241637,Film
1992,116,Operation Crossbow,Action,,140705322,Film
1986,141,Courage,Drama,,134403112,Film
1986,94,RAD,Action,"Needham, Hal",214104620,Film
1992,98,Secret Admirer,Comedy,,224920375,Film
1979,85,Cocaine Cowboys,Action,"Lommel, Ulli",322161245,Film
1991,118,Test Pilot,Drama,,237860050,Film
1943,64,"Ape Man, The",Horror,"Beaudine, William",209947037,Film
1986,125,"Mission, The",Drama,"Joffe, Roland",141774679,Film
1991,102,Curly Sue,Comedy,"Hughes, John",197079546,Film
1962,150,Lolita,Drama,"Kubrick, Stanley",195320400,Film
1989,101,"Sex, Lies, and Videotape",Drama,"Soderbergh, Steven",132820716,Film
1990,107,Green Card,Comedy,"Weir, Peter",159814490,Film
1988,95,Gator Bait II,Action,"Sebastian, Beverly",173013509,Film
1979,129,Being There,Comedy,"Ashby, Hal",290745055,Film
1983,132,Terms of Endearment,Drama,"Brooks, James L.",119718203,Film
1967,99,Woman Times Seven,Comedy,"De Sica, Vittorio",134734481,Film
1968,,"Bliss of Mrs. Blossom, The",Comedy,"McGrath, Joseph",97470701,Film
1990,101,Postcards from the Edge,Comedy,"Nichols, Mike",248118121,Film
1970,105,Two Mules for Sister Sara,Western,"Siegel, Don",157107755,Film
1992,84,Dragonfight,Drama,,269784201,Film
1939,85,Back Door to Heaven,Drama,"Howard, William K.",149292488,Film
1988,100,"Ciao Italia, Madonna Live from Italy",Music,"De Winter, Harry",237113184,Film
1991,118,"Madonna, Truth or Dare",Music,"Keshishian, Alek",129540522,Film
1992,60,A Certain Sacrifice,Music,"Lewicki, Steven Jon",250288523,Film
1991,40,"National Enquirer, The Untold Story",Music,,154906693,Film
1990,60,"Immaculate Collection, The",Music,,178866158,Film
1987,50,"Madonna Live, The Virgin Tour",Music,,211622535,Film
1990,5,"Madonna, Justify My Love",Music,,161772375,Film
1991,16,"Madonna, Like a Virgin",Music,,129190869,Film
1988,83,Hot to Trot,Comedy,"Dinner, Michael",138307673,Film
1986,103,Fire with Fire,Drama,"Gibbins, Duncan",93933394,Film
1990,120,Hot Spot,Drama,"Hopper, Dennis",175372502,Film
1974,124,Amarcord,Drama,"Fellini, Federico",209035668,Film
1988,85,Casablanca Express,Action,"Martino, Sergio",162360636,Film
1980,94,Out of the Blue,Drama,"Hopper, Dennis",200687492,Film
1949,110,Sands of Iwo Jima,War,"Dwan, Allan",199043471,Film
1981,104,"Hand, The",Horror,"Stone, Oliver",209196298,Film
1989,81,Deep Cover,Mystery,"Loncraine, Richard",286140700,Film
1955,92,Il Bidone,Drama,"Fellini, Federico",177977226,Film
1986,130,El Guerrero Solitario,Drama,"Eastwood, Clint",216222015,Film
1986,130,Heartbreak Ridge,War,"Eastwood, Clint",154026136,Film
1977,110,"Goodbye Girl, The",Comedy,"Ross, Herbert",222809600,Film
1991,113,Audrey Rose,Drama,,117615211,Film
1981,86,Polyester,Comedy,,259334548,Film
1991,144,Robin Hood: Prince of Thieves,Action,"Costner, Kevin",171547802,Film
1992,101,White Sands,Drama,"Donaldson, Roger",146027888,Film
1986,119,"Color of Money, The",Drama,"Scorsese, Martin",131647155,Film
1986,119,Children of a Lesser God,Drama,"Haines, Randa",96070507,Film
1986,,Matador,Comedy,"Almod�var, Pedro",201957688,Film
1989,88,Women on the Verge of a Nervous Breakdown,Comedy,"Almod�var, Pedro",101982712,Film
1980,86,Pepi Luci Bom,Comedy,"Almod�var, Pedro",177311151,Film
1989,100,"Forgotten, The",Mystery,"Keach, James",157387195,Film
1992,89,"Flame & the Arrow, The",Action,,124608438,Film
1990,92,After the Shock,Drama,"Sherman, Gary",159710793,Film
1990,110,Modern Love,Comedy,,233555708,Film
1992,95,Riff Raff,Comedy,"Loach, Ken",131706809,Film
1967,81,"Glory Stompers, The",Action,"Lanza, Anthony M.",180630907,Film
1990,181,Dances with Wolves,Western,"Costner, Kevin",336365676,Film
1987,130,Matewan,Drama,"Sayles, John",171757863,Film
1988,120,Mississippi Burning,Drama,"Parker, Alan",178262620,Film
1975,130,"Eiger Sanction, The",Action,"Eastwood, Clint",147880543,Film
1988,109,Unsettled Land,Drama,"Barbash, Uri",149270999,Film
1991,98,Cat Chaser,Drama,"Ferrera, Abel",252909177,Film
1988,110,"Accused, The",Drama,"Kaplan, Jonathan",90508336,Film
